IC  Instruction     X         Y         SUM       CARRY     A       
--------------------------------------------------------------------
 0  (Addresses)                                                     
 0  (Args)          00001110  00100011                              
 0  Addstart:       00001110  00100011                              
 1  SUM = X         00001110  00100011  00001110                    
 2  XOR SUM Y       00001110  00100011  00101101                    
 3  AND Y X         00001110  00000010  00101101                    
 4  CARRY = 0       00001110  00000010  00101101  00000000          
 5  A = Y           00001110  00000010  00101101  00000000  00000010
 6  AND A 1         00001110  00000010  00101101  00000000  00000000
 7  JPZ shiftzero   00001110  00000010  00101101  00000000  00000000
 9  Shiftzero:      00001110  00000010  00101101  00000000  00000000
10  A = Y           00001110  00000010  00101101  00000000  00000010
11  AND A 2         00001110  00000010  00101101  00000000  00000010
12  JPZ shiftone    00001110  00000010  00101101  00000000  00000010
13  XOR CARRY 4     00001110  00000010  00101101  00000100  00000010
14  Shiftone:       00001110  00000010  00101101  00000100  00000010
15  A = Y           00001110  00000010  00101101  00000100  00000010
16  AND A 4         00001110  00000010  00101101  00000100  00000000
17  JPZ shifttwo    00001110  00000010  00101101  00000100  00000000
19  Shifttwo:       00001110  00000010  00101101  00000100  00000000
20  A = Y           00001110  00000010  00101101  00000100  00000010
21  AND A 8         00001110  00000010  00101101  00000100  00000000
22  JPZ shiftthree  00001110  00000010  00101101  00000100  00000000
24  Shiftthree:     00001110  00000010  00101101  00000100  00000000
25  A = Y           00001110  00000010  00101101  00000100  00000010
26  AND A 16        00001110  00000010  00101101  00000100  00000000
27  JPZ shiftfour   00001110  00000010  00101101  00000100  00000000
29  Shiftfour:      00001110  00000010  00101101  00000100  00000000
30  A = Y           00001110  00000010  00101101  00000100  00000010
31  AND A 32        00001110  00000010  00101101  00000100  00000000
32  JPZ shiftfive   00001110  00000010  00101101  00000100  00000000
34  Shiftfive:      00001110  00000010  00101101  00000100  00000000
35  A = Y           00001110  00000010  00101101  00000100  00000010
36  AND A 64        00001110  00000010  00101101  00000100  00000000
37  JPZ shiftsix    00001110  00000010  00101101  00000100  00000000
39  Shiftsix:       00001110  00000010  00101101  00000100  00000000
40  A = Y           00001110  00000010  00101101  00000100  00000010
41  AND A 128       00001110  00000010  00101101  00000100  00000000
42  JPZ shiftseven  00001110  00000010  00101101  00000100  00000000
44  Shiftseven:     00001110  00000010  00101101  00000100  00000000
45  AND CARRY 255   00001110  00000010  00101101  00000100  00000000
46  JPZ addend      00001110  00000010  00101101  00000100  00000000
47  X = SUM         00101101  00000010  00101101  00000100  00000000
48  Y = CARRY       00101101  00000100  00101101  00000100  00000000
49  AND 0 0         00101101  00000100  00101101  00000100  00000000
50  JPZ addstart    00101101  00000100  00101101  00000100  00000000
 0  Addstart:       00101101  00000100  00101101  00000100  00000000
 1  SUM = X         00101101  00000100  00101101  00000100  00000000
 2  XOR SUM Y       00101101  00000100  00101001  00000100  00000000
 3  AND Y X         00101101  00000100  00101001  00000100  00000000
 4  CARRY = 0       00101101  00000100  00101001  00000000  00000000
 5  A = Y           00101101  00000100  00101001  00000000  00000100
 6  AND A 1         00101101  00000100  00101001  00000000  00000000
 7  JPZ shiftzero   00101101  00000100  00101001  00000000  00000000
 9  Shiftzero:      00101101  00000100  00101001  00000000  00000000
10  A = Y           00101101  00000100  00101001  00000000  00000100
11  AND A 2         00101101  00000100  00101001  00000000  00000000
12  JPZ shiftone    00101101  00000100  00101001  00000000  00000000
14  Shiftone:       00101101  00000100  00101001  00000000  00000000
15  A = Y           00101101  00000100  00101001  00000000  00000100
16  AND A 4         00101101  00000100  00101001  00000000  00000100
17  JPZ shifttwo    00101101  00000100  00101001  00000000  00000100
18  XOR CARRY 8     00101101  00000100  00101001  00001000  00000100
19  Shifttwo:       00101101  00000100  00101001  00001000  00000100
20  A = Y           00101101  00000100  00101001  00001000  00000100
21  AND A 8         00101101  00000100  00101001  00001000  00000000
22  JPZ shiftthree  00101101  00000100  00101001  00001000  00000000
24  Shiftthree:     00101101  00000100  00101001  00001000  00000000
25  A = Y           00101101  00000100  00101001  00001000  00000100
26  AND A 16        00101101  00000100  00101001  00001000  00000000
27  JPZ shiftfour   00101101  00000100  00101001  00001000  00000000
29  Shiftfour:      00101101  00000100  00101001  00001000  00000000
30  A = Y           00101101  00000100  00101001  00001000  00000100
31  AND A 32        00101101  00000100  00101001  00001000  00000000
32  JPZ shiftfive   00101101  00000100  00101001  00001000  00000000
34  Shiftfive:      00101101  00000100  00101001  00001000  00000000
35  A = Y           00101101  00000100  00101001  00001000  00000100
36  AND A 64        00101101  00000100  00101001  00001000  00000000
37  JPZ shiftsix    00101101  00000100  00101001  00001000  00000000
39  Shiftsix:       00101101  00000100  00101001  00001000  00000000
40  A = Y           00101101  00000100  00101001  00001000  00000100
41  AND A 128       00101101  00000100  00101001  00001000  00000000
42  JPZ shiftseven  00101101  00000100  00101001  00001000  00000000
44  Shiftseven:     00101101  00000100  00101001  00001000  00000000
45  AND CARRY 255   00101101  00000100  00101001  00001000  00000000
46  JPZ addend      00101101  00000100  00101001  00001000  00000000
47  X = SUM         00101001  00000100  00101001  00001000  00000000
48  Y = CARRY       00101001  00001000  00101001  00001000  00000000
49  AND 0 0         00101001  00001000  00101001  00001000  00000000
50  JPZ addstart    00101001  00001000  00101001  00001000  00000000
 0  Addstart:       00101001  00001000  00101001  00001000  00000000
 1  SUM = X         00101001  00001000  00101001  00001000  00000000
 2  XOR SUM Y       00101001  00001000  00100001  00001000  00000000
 3  AND Y X         00101001  00001000  00100001  00001000  00000000
 4  CARRY = 0       00101001  00001000  00100001  00000000  00000000
 5  A = Y           00101001  00001000  00100001  00000000  00001000
 6  AND A 1         00101001  00001000  00100001  00000000  00000000
 7  JPZ shiftzero   00101001  00001000  00100001  00000000  00000000
 9  Shiftzero:      00101001  00001000  00100001  00000000  00000000
10  A = Y           00101001  00001000  00100001  00000000  00001000
11  AND A 2         00101001  00001000  00100001  00000000  00000000
12  JPZ shiftone    00101001  00001000  00100001  00000000  00000000
14  Shiftone:       00101001  00001000  00100001  00000000  00000000
15  A = Y           00101001  00001000  00100001  00000000  00001000
16  AND A 4         00101001  00001000  00100001  00000000  00000000
17  JPZ shifttwo    00101001  00001000  00100001  00000000  00000000
19  Shifttwo:       00101001  00001000  00100001  00000000  00000000
20  A = Y           00101001  00001000  00100001  00000000  00001000
21  AND A 8         00101001  00001000  00100001  00000000  00001000
22  JPZ shiftthree  00101001  00001000  00100001  00000000  00001000
23  XOR CARRY 16    00101001  00001000  00100001  00010000  00001000
24  Shiftthree:     00101001  00001000  00100001  00010000  00001000
25  A = Y           00101001  00001000  00100001  00010000  00001000
26  AND A 16        00101001  00001000  00100001  00010000  00000000
27  JPZ shiftfour   00101001  00001000  00100001  00010000  00000000
29  Shiftfour:      00101001  00001000  00100001  00010000  00000000
30  A = Y           00101001  00001000  00100001  00010000  00001000
31  AND A 32        00101001  00001000  00100001  00010000  00000000
32  JPZ shiftfive   00101001  00001000  00100001  00010000  00000000
34  Shiftfive:      00101001  00001000  00100001  00010000  00000000
35  A = Y           00101001  00001000  00100001  00010000  00001000
36  AND A 64        00101001  00001000  00100001  00010000  00000000
37  JPZ shiftsix    00101001  00001000  00100001  00010000  00000000
39  Shiftsix:       00101001  00001000  00100001  00010000  00000000
40  A = Y           00101001  00001000  00100001  00010000  00001000
41  AND A 128       00101001  00001000  00100001  00010000  00000000
42  JPZ shiftseven  00101001  00001000  00100001  00010000  00000000
44  Shiftseven:     00101001  00001000  00100001  00010000  00000000
45  AND CARRY 255   00101001  00001000  00100001  00010000  00000000
46  JPZ addend      00101001  00001000  00100001  00010000  00000000
47  X = SUM         00100001  00001000  00100001  00010000  00000000
48  Y = CARRY       00100001  00010000  00100001  00010000  00000000
49  AND 0 0         00100001  00010000  00100001  00010000  00000000
50  JPZ addstart    00100001  00010000  00100001  00010000  00000000
 0  Addstart:       00100001  00010000  00100001  00010000  00000000
 1  SUM = X         00100001  00010000  00100001  00010000  00000000
 2  XOR SUM Y       00100001  00010000  00110001  00010000  00000000
 3  AND Y X         00100001  00000000  00110001  00010000  00000000
 4  CARRY = 0       00100001  00000000  00110001  00000000  00000000
 5  A = Y           00100001  00000000  00110001  00000000  00000000
 6  AND A 1         00100001  00000000  00110001  00000000  00000000
 7  JPZ shiftzero   00100001  00000000  00110001  00000000  00000000
 9  Shiftzero:      00100001  00000000  00110001  00000000  00000000
10  A = Y           00100001  00000000  00110001  00000000  00000000
11  AND A 2         00100001  00000000  00110001  00000000  00000000
12  JPZ shiftone    00100001  00000000  00110001  00000000  00000000
14  Shiftone:       00100001  00000000  00110001  00000000  00000000
15  A = Y           00100001  00000000  00110001  00000000  00000000
16  AND A 4         00100001  00000000  00110001  00000000  00000000
17  JPZ shifttwo    00100001  00000000  00110001  00000000  00000000
19  Shifttwo:       00100001  00000000  00110001  00000000  00000000
20  A = Y           00100001  00000000  00110001  00000000  00000000
21  AND A 8         00100001  00000000  00110001  00000000  00000000
22  JPZ shiftthree  00100001  00000000  00110001  00000000  00000000
24  Shiftthree:     00100001  00000000  00110001  00000000  00000000
25  A = Y           00100001  00000000  00110001  00000000  00000000
26  AND A 16        00100001  00000000  00110001  00000000  00000000
27  JPZ shiftfour   00100001  00000000  00110001  00000000  00000000
29  Shiftfour:      00100001  00000000  00110001  00000000  00000000
30  A = Y           00100001  00000000  00110001  00000000  00000000
31  AND A 32        00100001  00000000  00110001  00000000  00000000
32  JPZ shiftfive   00100001  00000000  00110001  00000000  00000000
34  Shiftfive:      00100001  00000000  00110001  00000000  00000000
35  A = Y           00100001  00000000  00110001  00000000  00000000
36  AND A 64        00100001  00000000  00110001  00000000  00000000
